<!DOCTYPE HTML><html><head><meta charset='UTF-8'><title>transcodage</title></head><body><pre>
ancien;simple;rattachée
29118;29039;29039
29121;29221;29221
29127;29266;29127
29129;29227;29129
29138;29302;29302
29149;29076;29149
29154;29217;29217
29157;29232;29232
29164;29046;29046
29194;29024;29024
29200;29151;29151
29203;29021;29203
29219;29199;29219
29223;29046;29046
29231;29302;29302
29242;29053;29053
29253;29019;29019
29258;29019;29019
29283;29046;29046
30063;30058;30058
30078;30325;30325
30118;30037;30037
30157;30052;30157
30190;30339;30339
31016;31085;31016
31154;31085;31154
31214;31144;31144
31257;31287;31287
31298;31471;31298
31307;31412;31307
31438;31277;31277
32006;32348;32348
32011;32426;32011
32074;32344;32074
32137;32268;32268
32168;32079;32168
32179;32462;32179
32259;32065;32065
33041;33042;33042
33091;33268;33268
33092;33008;33008
33107;33106;33107
33110;33063;33063
33217;33341;33341
33265;33339;33339
33267;33380;33267
33286;33342;33342
33313;33290;33290
33338;33055;33055
33340;33506;33506
33368;33287;33287
33371;33018;33371
33410;33290;33290
33430;33506;33506
33455;33378;33378
33469;33506;33506
33495;33018;33495
33497;33175;33175
34275;34186;34186
34330;34246;34330
35011;35292;35011
35020;35130;35130
35036;35064;35036
35043;35068;35068
35048;35168;35048
35053;35220;35053
35073;35206;35206
35074;35096;35074
35083;35191;35083
35100;35163;35100
35113;35004;35113
35129;35176;35129
35147;35308;35147
35158;35060;35158
35182;35240;35240
35209;35069;35209
35213;35288;35288
35254;35069;35254
35267;35257;35267
35269;35282;35269
35293;35282;35293
35298;35068;35068
35301;35184;35301
35303;35004;35303
35313;35288;35288
35323;35191;35323
35341;35004;35341
35344;35308;35344
35348;35282;35348
35349;35069;35069
36039;36070;36039
36072;36244;36072
36151;36229;36151
36183;36229;36183
36201;36093;36201
36206;36093;36206
36245;36202;36245
37017;37115;37115
37102;37123;37102
37120;37232;37120
37135;37021;37135
37164;37163;37163
37209;37254;37209
37215;37003;37003
37227;37232;37227
37235;37261;37261
37239;37261;37261
38007;38524;38524
38014;38297;38014
38016;38479;38016
38021;38225;38021
38024;38152;38152
38025;38284;38025
38028;38001;38028
38079;69270;69270
38088;69271;69271
38096;38085;38085
38119;69299;69299
38121;38479;38121
38122;69272;69272
38123;69273;69273
38125;38456;38125
38142;38543;38543
38143;69275;69275
38145;38359;38145
38164;69276;69276
38165;38001;38165
38168;38315;38315
38178;69277;69277
38196;38053;38053
38201;69279;69279
38202;69280;69280
38220;69281;69281
38227;38139;38227
38233;69282;69282
38234;69283;69283
38251;38348;38348
38262;38439;38262
38274;38479;38274
38293;38560;38293
38302;38073;38302
38305;38292;38305
38306;38163;38306
38312;38407;38407
38327;69285;69285
38367;38395;38367
38371;69287;69287
38385;38226;38226
38411;69288;69288
38435;38395;38435
38441;69289;69289
38447;69290;69290
38461;69291;69291
38477;38224;38224
38482;69294;69294
38491;69295;69295
38493;69296;69296
38502;69297;69297
38506;38022;38022
38510;69298;69298
38534;38253;38534
38541;38022;38541
39005;39385;39005
39012;25527;39012
39023;39378;39023
39033;39198;39198
39036;39209;39036
39044;39022;39044
39064;39576;39064
39067;39049;39049
39069;39485;39069
39071;39397;39397
39075;39199;39075
39082;39018;39018
39087;39370;39370
39089;39137;39137
39098;39133;39133
39113;39339;39113
39115;39258;39115
39123;39290;39290
39125;39478;39478
39135;39378;39135
39144;39478;39478
39148;39016;39016
39152;39478;39478
39158;39530;39158
39161;39331;39161
39181;39493;39493
39186;39491;39186
39195;39273;39195
39212;39331;39331
39213;39329;39213
39215;39021;39215
39224;39290;39290
39226;39209;39226
39231;39436;39436
39242;39331;39331
39243;39577;39243
39256;39198;39256
39257;39561;39561
39260;39177;39260
39264;39576;39264
39276;39209;39209
39287;39137;39137
39294;39368;39294
39303;39485;39303
39309;39537;39309
39311;39504;39504
39316;39188;39188
39332;39177;39332
39340;39329;39340
39341;39510;39341
39347;39273;39347
39357;39504;39504
39358;39479;39358
39369;39010;39369
39371;39368;39371
39374;39436;39436
39382;39209;39382
39383;39205;39383
39384;39504;39504
39395;39043;39395
39410;39424;39424
39414;39190;39414
39416;39331;39331
39417;39130;39417
39433;39209;39209
39438;39286;39438
39440;39286;39440
39442;39130;39442
39450;39478;39478
39459;39258;39258
39482;39017;39482
39483;39137;39137
39484;39378;39484
39488;39021;39488
39496;39198;39198
39506;39290;39290
39509;39209;39509
39515;39397;39397
39516;39579;39579
39521;39154;39154
39524;39367;39367
39536;39517;39517
39541;39478;39478
39542;39583;39542
39544;39021;39544
39549;39576;39549
39562;39130;39562
39563;39313;39313
39564;39485;39564
39566;39018;39566
39578;39086;39578
39580;39049;39049
40009;40197;40009
40010;40267;40267
40045;40200;40200
40048;40243;40048
40107;40197;40107
40241;40227;40227
40302;40197;40302
41005;41248;41005
41011;41171;41011
41015;41171;41015
41021;41273;41021
41023;41151;41023
41033;41142;41033
41056;41173;41056
41064;41055;41064
41076;41273;41076
41082;41059;41082
41092;41059;41092
41111;41194;41194
41117;41199;41199
41133;41173;41133
41162;41220;41220
41165;41248;41165
41169;41142;41169
41170;41059;41170
41183;41173;41183
41197;41248;41197
41202;41248;41202
41210;41171;41210
41227;41149;41227
41240;41055;41240
41244;41173;41244
41257;41059;41257
41263;41070;41263
41264;41173;41264
41270;41173;41270
41272;41167;41272
42004;42268;42004
42024;42005;42005
42057;42095;42095
42080;42225;42080
42082;42268;42082
42111;42207;42207
42114;42039;42114
42144;42147;42147
42190;42218;42190
42244;42207;42207
42250;42279;42250
42258;42207;42207
42263;42239;42239
42291;42245;42291
42292;42218;42218
42309;42218;42218
43081;43245;43245
43146;43157;43157
43161;43132;43132
43176;43221;43176
43179;43132;43132
43209;43239;43239
43235;43111;43111
43243;43157;43157
43248;43005;43005
43255;43090;43255
43266;43013;43013
44004;44163;44004
44008;44029;44008
44011;44213;44011
44017;44180;44017
44034;44213;44034
44040;44005;44040
44042;44131;44131
44059;44021;44059
44060;49160;49160
44093;44180;44093
44147;44213;44147
44160;44003;44003
44167;44156;44156
44177;44131;44131
44181;44087;44181
44191;44180;44191
44219;44180;44219
44225;44180;44225
45003;45240;45003
45007;45155;45007
45048;45253;45048
45057;45191;45057
45071;45332;45332
45090;45035;45090
45106;45191;45106
45117;45093;45093
45128;45065;45065
45140;45240;45140
45163;45160;45163
45172;45025;45172
45190;45191;45190
45192;45191;45192
45211;45129;45211
45221;45191;45221
45236;45191;45236
45267;45051;45267
45287;45307;45287
45295;45240;45295
45304;45162;45304
45318;45240;45318
45319;45118;45319
45349;45348;45349
46014;46263;46014
46019;46138;46019
46025;46201;46025
46048;46311;46048
46067;46232;46067
46071;46311;46071
46077;46156;46077
46099;46033;46099
46110;46138;46110
46141;46311;46141
46150;46311;46150
46158;46262;46158
46166;46201;46166
46248;46063;46248
46261;46201;46261
46274;46262;46274
46275;46252;46275
46278;46033;46278
46285;46263;46285
46287;46103;46287
46291;46138;46291
46298;46083;46298
46300;46033;46300
46325;46138;46325
46326;46201;46326
46327;46156;46327
46331;46268;46331
47116;47302;47116
47149;47221;47149
47153;47246;47246
47166;47302;47166
47243;47112;47112
47261;47142;47142
47268;47206;47268
47270;47110;47110
47322;47134;47322
48006;48012;48012
48011;48034;48011
48014;48027;48014
48022;48050;48022
48023;48027;48023
48024;48012;48012
48033;48017;48017
48035;48034;48035
48040;48027;48040
48047;48009;48047
48049;48099;48049
48052;48004;48004
48057;48127;48057
48060;48009;48060
48062;48105;48062
48066;48116;48066
48076;48009;48076
48078;48126;48078
48084;48139;48084
48093;48027;48093
48101;48146;48101
48102;48034;48102
48109;48074;48074
48113;48099;48099
48114;48015;48015
48118;48146;48146
48120;48087;48120
48122;48146;48122
48125;48094;48125
48133;48127;48133
48134;48152;48134
48142;48009;48142
48143;48070;48070
48154;48094;48154
48159;48015;48015
48162;48166;48162
48164;48027;48164
48172;48116;48172
48180;48094;48180
48183;48009;48183
48184;48038;48184
48186;48061;48186
48189;48127;48189
48195;48094;48195
48196;48039;48196
48197;48127;48197
49001;49050;49001
49004;49307;49004
49005;49176;49005
49006;49023;49006
49013;49228;49013
49014;49331;49014
49016;49328;49016
49019;49307;49019
49024;49244;49024
49025;49163;49025
49031;49018;49031
49032;49307;49032
49033;49218;49033
49034;49244;49034
49037;49331;49037
49039;49244;49039
49040;49069;49040
49042;49307;49042
49043;49367;49043
49044;49228;49044
49046;49060;49046
49047;49125;49047
49049;49138;49049
49051;49080;49051
49052;49228;49052
49059;49373;49059
49062;49228;49062
49065;49080;49065
49066;49345;49066
49071;49092;49071
49072;49023;49072
49073;49248;49073
49074;49092;49074
49075;49244;49075
49077;49331;49077
49078;49050;49078
49079;49018;49079
49081;49331;49081
49083;49218;49083
49084;49163;49084
49085;49218;49085
49087;49228;49087
49088;49248;49088
49091;49050;49091
49093;49220;49093
49094;49261;49094
49095;49067;49095
49096;49080;49096
49097;49018;49097
49098;49228;49098
49101;49018;49101
49103;49248;49103
49104;49125;49104
49105;49080;49105
49106;49307;49106
49108;49183;49108
49111;49092;49111
49115;49050;49115
49116;49018;49116
49117;49307;49117
49118;49328;49118
49119;49220;49119
49122;49228;49122
49124;49125;49125
49126;49069;49126
49128;49018;49128
49133;49345;49133
49134;49345;49134
49136;49331;49136
49137;49218;49137
49139;49194;49139
49141;49125;49141
49142;49373;49142
49143;49018;49143
49144;44180;44180
49145;49218;49145
49146;49092;49092
49147;49021;49147
49148;49367;49148
49149;49261;49149
49150;49228;49150
49151;49023;49151
49152;49029;49029
49153;49092;49153
49154;49261;49154
49156;49248;49156
49157;49018;49157
49158;49331;49158
49159;49174;49159
49162;49023;49162
49164;49092;49092
49165;49023;49165
49166;49214;49214
49168;49180;49168
49169;49092;49169
49172;49069;49172
49173;49228;49173
49175;49228;49175
49177;49069;49177
49179;49301;49179
49181;49003;49181
49184;49331;49184
49185;49163;49185
49186;49050;49186
49187;49331;49187
49189;49080;49189
49190;49244;49190
49191;49086;49191
49196;49200;49196
49197;49228;49197
49198;49125;49198
49199;49092;49199
49202;49228;49202
49203;49215;49215
49204;49244;49204
49206;49301;49206
49207;49125;49207
49208;49331;49208
49210;49301;49301
49212;49244;49212
49213;49018;49213
49225;49092;49225
49226;49248;49226
49227;49086;49227
49229;49331;49229
49230;49003;49230
49232;49373;49232
49233;49331;49233
49234;49228;49234
49238;49323;49238
49239;49023;49239
49242;49200;49242
49243;49023;49243
49245;49018;49245
49249;49367;49249
49250;49248;49250
49251;49200;49251
49252;49218;49252
49254;49080;49254
49255;49050;49050
49256;49345;49256
49258;49301;49258
49263;49301;49263
49264;49301;49264
49265;49292;49265
49268;49092;49268
49270;49069;49270
49273;49301;49273
49274;49060;49274
49275;49050;49050
49276;49244;49276
49277;49331;49277
49279;49261;49279
49280;49138;49280
49281;49092;49281
49282;49125;49282
49285;49301;49285
49286;49373;49286
49287;49328;49287
49289;49298;49289
49290;49167;49290
49293;49328;49293
49295;49244;49295
49296;49069;49296
49297;49244;49297
49300;49092;49300
49303;49018;49303
49304;49261;49304
49305;49331;49305
49309;49248;49309
49312;49023;49312
49313;49218;49313
49314;49218;49314
49315;49018;49315
49316;49218;49316
49317;49050;49317
49318;49050;49318
49319;49331;49319
49320;49069;49320
49322;49029;49322
49324;49218;49324
49325;49092;49325
49327;49050;49327
49335;49080;49335
49337;49377;49337
49340;49125;49125
49342;49373;49342
49346;49261;49346
49348;49373;49348
49349;49301;49349
49350;49301;49350
49351;49092;49351
49354;49248;49354
49356;49373;49356
49357;49261;49261
49360;49069;49360
49363;49050;49363
49365;49125;49365
49366;49248;49366
49372;49018;49372
49375;49023;49375
49376;49183;49376
49379;49373;49379
49380;49018;49380
49382;49160;49382
50001;50041;50001
50005;50400;50005
50007;50550;50007
50009;50565;50009
50010;50099;50010
50011;50142;50142
50012;50267;50012
50014;50215;50014
50017;50410;50410
50018;50487;50018
50020;50041;50020
50035;50236;50035
50037;50260;50037
50043;50260;50043
50047;50188;50047
50051;50523;50051
50053;50256;50053
50056;50359;50056
50057;50041;50057
50061;50215;50061
50063;50236;50063
50065;50410;50410
50067;50531;50067
50068;50109;50109
50071;50535;50535
50073;50041;50073
50075;50601;50075
50080;50099;50080
50089;50099;50089
50091;50256;50256
50100;50487;50100
50103;50523;50103
50104;50031;50031
50107;50099;50107
50113;50256;50113
50114;50115;50115
50116;50565;50116
50119;50431;50119
50122;50444;50444
50123;50239;50123
50125;50260;50125
50127;50523;50127
50128;50393;50128
50131;50260;50131
50132;50168;50132
50133;50391;50133
50134;50363;50134
50136;50273;50136
50140;50419;50140
50141;50410;50410
50153;50400;50153
50154;50487;50154
50157;50410;50410
50160;50412;50160
50163;50041;50163
50170;50523;50170
50171;50041;50171
50173;50129;50173
50179;50591;50179
50180;50592;50180
50187;50041;50187
50189;50436;50189
50191;50523;50191
50201;50629;50201
50202;50601;50202
50203;50129;50203
50204;50236;50204
50206;50597;50597
50211;50142;50211
50212;50400;50212
50213;50546;50213
50220;50041;50220
50223;50419;50223
50224;50601;50224
50226;50129;50129
50242;50041;50242
50244;50419;50244
50245;50591;50245
50248;50409;50248
50249;50099;50249
50250;50400;50250
50254;50591;50254
50255;50419;50255
50257;50041;50257
50264;50405;50405
50280;50292;50280
50284;50410;50284
50286;50256;50286
50287;50546;50287
50293;50391;50293
50301;50197;50301
50303;50216;50216
50306;50256;50306
50307;50197;50197
50308;50550;50308
50309;50188;50309
50313;50546;50313
50314;50197;50197
50316;50363;50316
50318;50260;50318
50319;50139;50319
50320;50197;50320
50322;50256;50322
50323;50260;50323
50325;50431;50325
50329;50391;50329
50330;50236;50330
50331;50410;50410
50333;50400;50333
50337;50487;50337
50339;50388;50339
50343;50236;50343
50344;50256;50344
50346;50256;50346
50348;50099;50348
50354;50215;50354
50355;50565;50355
50358;50417;50358
50366;50041;50041
50367;50256;50367
50375;50142;50375
50377;50590;50377
50380;50492;50380
50381;50359;50381
50383;50129;50129
50385;50041;50385
50386;50041;50386
50392;50410;50410
50396;50082;50396
50404;50444;50404
50406;50535;50535
50414;50492;50414
50415;50273;50415
50416;50129;50416
50418;50082;50418
50424;50456;50424
50427;50523;50427
50432;50142;50432
50434;50565;50434
50438;50550;50438
50439;50167;50439
50440;50639;50440
50441;50492;50441
50449;50550;50449
50458;50099;50458
50459;50502;50502
50460;50041;50460
50465;50095;50465
50466;50597;50597
50470;50564;50470
50477;50041;50477
50485;50099;50485
50494;50359;50494
50497;50273;50497
50501;50493;50501
50503;50412;50503
50508;50591;50508
50515;50484;50515
50516;50025;50516
50520;50082;50520
50524;50550;50524
50526;50066;50526
50527;50147;50147
50530;50218;50218
50534;50099;50534
50544;50236;50544
50545;50546;50545
50547;50514;50514
50555;50273;50273
50557;50090;50557
50558;50236;50558
50559;50444;50444
50560;50502;50502
50561;50493;50561
50566;50639;50639
50573;50215;50573
50581;50546;50581
50583;50197;50583
50586;50236;50586
50595;50209;50595
50600;50041;50600
50602;50129;50602
50605;50419;50605
50608;50139;50608
50611;50041;50611
50614;50082;50614
50620;50041;50620
50622;50550;50622
50623;50041;50623
50625;50582;50625
50627;50487;50627
50630;50410;50630
50631;50099;50631
50632;50256;50632
50635;50492;50635
50636;50099;50636
50638;50359;50638
50640;50487;50640
50642;50400;50642
50644;50484;50644
50645;50142;50142
50646;50082;50646
50649;50592;50649
51011;51537;51537
51021;51158;51021
51024;51158;51024
51026;51025;51025
51064;51030;51064
51067;51277;51277
51096;51270;51270
51114;51269;51269
51123;51269;51269
51131;51132;51132
51159;51298;51298
51180;51380;51380
51189;51571;51571
51207;51211;51211
51209;51228;51228
51221;51380;51380
51257;51244;51244
51261;51075;51261
51271;51612;51271
51297;51659;51659
51330;51326;51326
51331;51564;51331
51332;51381;51381
51335;51380;51380
51347;51030;51347
51366;51368;51368
51383;51158;51383
51385;51440;51440
51394;51046;51046
51400;51017;51017
51401;51454;51454
51405;51248;51405
51408;51277;51277
51411;51612;51411
51427;51553;51553
51462;51470;51470
51467;51218;51218
51481;51071;51071
51494;52182;51494
51540;51264;51264
51541;51217;51217
51554;51555;51555
51561;51544;51544
51575;51611;51575
51593;51214;51214
51606;51235;51235
51615;51244;51244
51651;51612;51651
51653;51648;51648
51661;51571;51571
51664;51171;51664
52010;52088;52010
52018;52140;52018
52020;52273;52020
52024;52405;52405
52026;52187;52187
52032;52497;52032
52036;52449;52036
52041;52400;52041
52046;52187;52187
52048;52194;52194
52049;52140;52049
52052;52140;52052
52054;52008;52054
52068;52182;52068
52071;52491;52071
52073;52123;52073
52077;52197;52077
52078;52121;52078
52080;52491;52080
52081;52426;52081
52086;52211;52211
52096;52125;52125
52098;52431;52431
52100;52140;52100
52111;52432;52111
52112;52197;52112
52117;52189;52117
52139;52074;52139
52143;52083;52143
52144;52269;52144
52148;52450;52450
52150;52189;52150
52152;52405;52405
52153;52114;52153
52154;52205;52154
52166;52126;52166
52176;52353;52176
52180;52411;52180
52186;52332;52186
52188;52450;52450
52191;52353;52191
52192;52114;52192
52202;52497;52202
52209;52377;52209
52210;70122;52210
52215;52060;52215
52224;52064;52224
52225;52064;52225
52226;52265;52226
52236;52288;52236
52238;52140;52238
52239;52529;52239
52241;52448;52448
52252;52246;52252
52255;52061;52061
52259;52251;52259
52261;52094;52261
52262;52140;52262
52263;52173;52263
52268;52288;52268
52270;52432;52270
52279;52140;52279
52281;52332;52281
52283;52332;52283
52293;52411;52293
52296;52411;52296
52299;52456;52299
52309;52058;52309
52314;52114;52314
52317;52332;52317
52323;52332;52332
52324;52074;52324
52329;52388;52329
52333;52242;52333
52334;52158;52158
52338;52114;52114
52339;52469;52339
52340;52405;52340
52343;52128;52128
52345;52094;52345
52351;52064;52351
52361;52353;52361
52368;52274;52368
52379;52187;52379
52381;52292;52381
52382;52158;52382
52387;52529;52529
52389;52384;52389
52402;52529;52529
52404;52140;52404
52408;52265;52408
52409;52211;52409
52410;52332;52410
52412;52050;52412
52417;52332;52417
52418;52332;52418
52427;52331;52427
52430;52044;52044
52434;52058;52434
52435;52242;52435
52441;52479;52441
52451;52031;52451
52454;52529;52529
52458;52526;52526
52460;52251;52460
52462;52177;52462
52466;52088;52466
52471;52464;52464
52477;52118;52477
52478;52123;52478
52481;52491;52481
52485;52413;52413
52496;52242;52496
52498;52432;52498
52501;52031;52501
52508;52544;52508
52509;52405;52509
52521;52383;52521
52527;52060;52527
52530;52094;52530
52531;52094;52531
52532;52497;52532
52533;52178;52533
52537;52230;52537
53004;53124;53004
53006;53029;53006
53014;53062;53014
53020;53127;53127
53024;53062;53062
53032;53228;53032
53044;53118;53044
53050;53255;53050
53060;53121;53060
53065;53097;53065
53070;53003;53003
53081;53127;53127
53092;53161;53092
53095;53017;53095
53138;53104;53138
53149;53127;53127
53159;53161;53159
53166;53127;53127
53167;53262;53262
53171;53133;53133
53183;53160;53160
53194;53137;53194
53205;53161;53205
53207;53097;53207
53215;53062;53215
53217;53186;53186
53227;53103;53103
53231;53029;53231
53241;53029;53241
53244;53161;53244
53252;53185;53252
53254;53136;53254
53268;53079;53079
53275;53265;53265
54267;54010;54010
54319;54059;54059
54341;54099;54341
54342;54099;54342
54347;54059;54059
54361;54128;54128
54384;54059;54059
54503;54059;54059
54506;54557;54506
55003;55229;55003
55006;55040;55006
55016;55184;55016
55019;55388;55019
55020;55117;55020
55030;55150;55030
55052;55551;55052
55056;55385;55056
55074;55229;55074
55086;55389;55086
55090;55366;55090
55091;55457;55457
55092;55093;55092
55098;55473;55473
55112;55358;55112
55126;55258;55126
55130;55132;55132
55131;55518;55131
55135;55341;55341
55136;55551;55136
55147;55094;55094
55151;55274;55151
55152;55040;55152
55161;55179;55161
55164;55537;55164
55176;55442;55176
55187;55341;55341
55190;55389;55190
55203;55123;55203
55205;55026;55205
55209;55145;55145
55213;55258;55213
55223;55267;55223
55227;54602;54602
55230;55571;55230
55231;55123;55231
55233;55551;55233
55234;55551;55234
55235;55500;55235
55238;55267;55238
55240;55002;55240
55249;55500;55249
55259;55117;55259
55273;55386;55273
55277;55410;55410
55283;55274;55283
55287;55276;55287
55294;55012;55294
55305;55123;55305
55308;55179;55308
55309;55215;55309
55314;55114;55314
55318;55123;55318
55319;55012;55319
55337;55060;55060
55342;55254;55342
55354;55060;55060
55390;55358;55390
55392;55500;55392
55393;55191;55393
55402;55117;55402
55413;55497;55413
55417;55085;55417
55418;55500;55418
55432;55254;55432
55440;55369;55440
55441;55148;55441
55451;55012;55451
55455;55551;55455
55478;55530;55478
55480;55517;55480
55483;55530;55483
55486;55040;55486
55491;55423;55491
55499;55274;55499
55513;55215;55513
55524;55573;55573
55529;55366;55529
55538;55472;55538
55539;55472;55539
55542;55186;55542
55548;55184;55548
55550;55551;55550
55558;55184;55558
55564;55060;55060
55576;55457;55457
55585;55093;55585
56016;56173;56016
56037;56197;56037
56038;56061;56038
56059;56102;56059
56064;56061;56064
56095;56121;56121
56138;56165;56138
56142;56144;56142
56150;56251;56150
56183;56033;56183
56187;56197;56187
56192;56144;56192
56217;56198;56198
56235;56198;56198
57005;57605;57605
57023;57086;57023
57068;57262;57262
57078;57680;57680
57094;57463;57463
57135;57209;57135
57157;57132;57157
57164;57572;57572
57170;57133;57133
57184;57021;57184
57185;57606;57606
57223;57631;57631
57243;57672;57672
57279;57252;57279
57285;57097;57285
57327;57630;57630
57363;57270;57270
57369;57672;57672
57378;57155;57378
57400;57151;57151
57420;57150;57420
57429;57463;57463
57432;57148;57432
57435;57019;57019
57450;57306;57306
57458;57240;57240
57503;57631;57631
57522;57672;57672
57523;57482;57523
57585;57439;57585
57608;57542;57608
57632;57250;57250
57646;57124;57124
57688;57463;57463
57699;57695;57695
57710;57672;57672
57722;57578;57722
57729;57672;57672
57735;57204;57204
57744;57631;57631
57758;57757;57757
57766;57306;57306
58022;58204;58022
58091;58086;58091
58100;58026;58100
58167;58026;58167
59020;59009;59009
59030;59139;59139
59040;59033;59033
59095;59094;59094
59154;59588;59154
59235;59009;59009
59245;59567;59567
59248;59183;59248
59298;59350;59298
59355;59350;59355
59362;59053;59053
59373;59183;59183
59376;59501;59501
59380;59183;59380
59404;59260;59404
59417;59122;59122
59460;59183;59183
59510;59183;59183
59540;59183;59540
59561;59631;59561
59621;59574;59574
59644;59643;59643
60018;60088;60018
60038;60256;60038
60080;60209;60080
60096;60245;60096
60202;60537;60537
60246;60088;60246
60266;60133;60133
60300;60209;60300
60349;60395;60395
60384;60057;60057
60417;60570;60417
60419;60374;60374
60453;60196;60453
60455;60054;60455
60467;60057;60057
60475;60682;60475
60532;60196;60532
60580;60057;60057
60606;60509;60509
60607;60668;60668
60649;60029;60649
60690;60644;60690
60694;60054;60694
60696;60057;60057
61003;61167;61003
61004;61168;61004
61009;61474;61009
61016;61491;61016
61019;61474;61019
61022;61483;61483
61025;61211;61025
61027;61153;61027
61031;61486;61031
61033;61211;61033
61042;61345;61345
61045;61491;61045
61047;61167;61047
61057;61474;61057
61058;61007;61058
61059;61491;61059
61065;61491;61065
61073;61007;61073
61083;61474;61083
61090;61491;61090
61106;61339;61106
61109;61292;61109
61110;61474;61110
61112;61309;61112
61115;61116;61115
61119;61309;61309
61125;61116;61125
61127;61153;61127
61128;61050;61050
61131;61474;61131
61132;61189;61189
61134;61029;61029
61135;61096;61135
61136;61167;61136
61144;61309;61144
61147;61345;61345
61154;61196;61154
61155;61324;61155
61157;61474;61157
61161;61474;61161
61172;61228;61172
61173;61153;61173
61174;61339;61174
61175;61341;61175
61177;61486;61177
61179;61339;61179
61184;61167;61184
61185;61484;61185
61186;61096;61186
61191;61167;61191
61200;61096;61200
61201;61145;61201
61204;61484;61204
61205;61167;61205
61220;61230;61220
61223;61486;61223
61226;61491;61226
61231;61228;61231
61235;61211;61235
61236;61153;61236
61239;61211;61239
61245;61050;61050
61246;61484;61246
61247;61230;61247
61249;61375;61249
61250;61230;61250
61253;61081;61253
61254;61167;61167
61270;61339;61270
61280;61230;61280
61282;61167;61282
61285;61194;61285
61296;61230;61296
61299;61429;61299
61305;61230;61305
61306;61081;61306
61311;61429;61311
61312;61422;61422
61313;61007;61313
61315;61474;61315
61318;61196;61318
61320;61460;61320
61325;61196;61325
61334;61339;61339
61335;61491;61335
61337;61309;61337
61338;61491;61338
61340;61339;61340
61343;61491;61343
61353;61007;61353
61354;61339;61354
61355;61145;61355
61356;61484;61356
61359;61484;61359
61364;61339;61364
61368;61309;61368
61377;61486;61377
61378;61339;61378
61380;61211;61380
61383;61228;61383
61403;61294;61403
61409;61309;61409
61410;61486;61410
61417;61375;61417
61428;61463;61428
61430;61050;61050
61431;61483;61431
61434;61167;61434
61437;61196;61437
61441;61153;61441
61449;61474;61449
61455;61324;61455
61458;61230;61458
61465;61007;61465
61468;61194;61468
61469;61211;61469
61470;61153;61470
61471;61196;61471
61477;61474;61477
61478;61007;61478
61489;61007;61489
61495;61432;61432
61496;61474;61496
61504;61474;61504
61506;61167;61506
61509;61341;61509
61511;61375;61511
61513;61486;61513
62098;62427;62427
62110;62473;62110
62136;62137;62137
62159;62661;62661
62210;62154;62154
62226;62691;62226
62287;62552;62552
62294;62295;62294
62305;62834;62834
62394;62827;62827
62417;62631;62631
62420;62683;62683
62431;62471;62431
62482;62178;62482
62575;62473;62575
62687;62693;62693
62707;62706;62706
62807;62757;62807
62884;62008;62008
63018;63160;63018
63068;63244;63068
63078;63448;63078
63127;63335;63335
63133;63226;63133
63217;63303;63303
63266;63255;63266
63316;63038;63316
63361;63103;63103
64020;64225;64020
64030;64396;64030
64055;64064;64055
64076;64300;64076
64163;64010;64163
64164;64148;64164
64169;64168;64169
64248;64396;64248
64278;64049;64278
64333;64396;64333
64384;64148;64384
64402;64440;64402
64497;64430;64497
64553;64113;64553
65008;65141;65008
65027;65282;65027
65030;65247;65247
65122;65092;65122
65152;65348;65348
65188;65192;65188
65227;65099;65227
65246;65054;65246
65302;65032;65032
65312;65081;65081
65365;65003;65365
65434;65388;65388
65480;65399;65399
66031;66025;66025
66087;66106;66106
66110;66003;66003
66135;66127;66127
66163;66106;66106
66200;66010;66010
66229;66005;66005
67007;67544;67007
67014;67418;67014
67015;67452;67015
67024;67495;67495
67041;67004;67041
67042;67104;67042
67064;67074;67064
67114;67176;67114
67157;67034;67157
67158;67539;67158
67170;67176;67170
67171;67061;67171
67175;67174;67174
67193;67206;67193
67207;67539;67207
67211;67474;67211
67219;67061;67219
67224;67442;67224
67243;67452;67243
67251;67339;67251
67262;67206;67262
67284;67263;67284
67294;67160;67294
67297;67539;67297
67316;67388;67316
67318;67228;67228
67323;67339;67339
67332;67351;67332
67357;67485;67485
67374;67495;67374
67376;67435;67376
67390;67339;67390
67393;67034;67393
67399;67061;67399
67402;67372;67402
67419;67034;67419
67431;67004;67431
67439;67202;67439
67457;67339;67457
67469;67004;67469
67496;67372;67496
67512;67372;67512
67518;67122;67122
67533;67530;67533
67549;67532;67549
67560;67153;67560
67561;67435;67561
67562;67347;67562
68003;68106;68106
68031;68006;68031
68047;68297;68297
68048;68224;68224
68053;68081;68081
68070;68056;68070
68108;68240;68108
68133;68240;68133
68164;68162;68164
68206;68012;68206
68220;68221;68221
68233;68201;68233
68236;68216;68216
68272;68143;68272
68310;68162;68310
68314;68219;68314
68319;68320;68319
68339;68018;68018
68346;68192;68192
68369;68145;68145
69011;69172;69172
69015;69135;69015
69025;69248;69025
69041;69248;69041
69048;69179;69048
69073;69157;69073
69079;69165;69165
69101;69159;69101
69114;69159;69114
69128;69248;69128
69129;69248;69129
69144;69208;69144
69146;69024;69146
69147;69157;69147
69150;69135;69150
69158;69066;69158
69185;69135;69185
69195;69228;69195
69210;69135;69210
69211;69019;69211
69213;69179;69213
69221;69255;69221
69222;69024;69222
69223;69157;69223
69224;69135;69224
69226;69091;69091
69232;69123;69123
69237;69228;69237
69247;69066;69247
69251;69135;69251
