<!DOCTYPE HTML><html><head><meta charset='UTF-8'><title>transcodage</title></head><body><pre>
ancien;simple;rattachée
14178;14474;14178
14185;14514;14514
14186;14406;14186
14187;14762;14187
14188;14579;14188
14189;14431;14189
14192;14658;14192
14199;14621;14621
14201;14431;14201
14208;14431;14208
14210;14371;14210
14212;14406;14212
14213;14689;14213
14217;14672;14217
14219;14027;14219
14222;14726;14222
14233;14431;14431
14234;14654;14654
14235;14281;14235
14247;14735;14247
14253;14726;14253
14255;14061;14255
14259;14371;14259
14262;14061;14061
14263;14027;14027
14264;14061;14264
14265;14371;14265
14267;14011;14011
14268;14005;14268
14279;14658;14279
14292;14740;14292
14294;14554;14294
14295;14654;14654
14296;14658;14296
14307;14713;14713
14313;14431;14313
14314;14654;14654
14315;14126;14126
14317;14061;14317
14321;14735;14321
14323;14335;14335
14324;14689;14324
14330;14371;14330
14331;14654;14331
14339;14538;14339
14340;14515;14340
14350;14672;14350
14351;14762;14762
14356;14543;14356
14359;14431;14359
14361;14174;14361
14363;14654;14654
14372;14143;14372
14373;14475;14373
14376;14011;14376
14382;14281;14382
14386;14431;14386
14387;14431;14387
14388;14762;14388
14392;14312;14312
14395;14061;14395
14413;14347;14413
14414;14371;14414
14415;14658;14415
14416;14658;14416
14417;14658;14417
14418;14371;14418
14420;14371;14420
14422;14431;14422
14423;14098;14423
14428;14342;14342
14429;14371;14429
14432;14475;14432
14433;14654;14433
14434;14370;14370
14440;14061;14440
14441;14061;14441
14442;14726;14442
14443;14061;14443
14444;14431;14444
14447;14654;14654
14450;14654;14450
14451;14735;14735
14459;14371;14459
14462;14342;14462
14463;14721;14463
14464;14762;14762
14470;14610;14610
14471;14371;14471
14472;14654;14472
14477;14027;14477
14479;14011;14011
14481;14342;14481
14485;14764;14764
14489;14654;14489
14490;14143;14143
14493;14431;14493
14503;14726;14503
14505;14150;14505
14507;50592;50592
14508;14027;14508
14513;50592;50592
14517;14005;14517
14518;14371;14518
14521;14726;14521
14523;14174;14523
14525;14098;14525
14526;14011;14011
14532;14061;14532
14537;14046;14537
14539;14726;14539
14544;14027;14544
14545;14762;14545
14548;14406;14548
14549;14726;14549
14551;14591;14551
14553;14037;14553
14560;14231;14560
14561;14126;14126
14564;14726;14564
14567;14431;14431
14568;14098;14568
14573;14061;14573
14577;14200;14577
14580;14654;14580
14581;14011;14581
14583;14576;14583
14584;14762;14584
14585;14174;14585
14594;14366;14366
14596;14672;14596
14597;14357;14597
14599;14570;14599
14600;14431;14600
14604;14126;14126
14608;14527;14608
14611;14658;14611
14612;14764;14764
14615;14371;14615
14616;14654;14616
14617;14431;14431
14618;14061;14618
14624;14654;14654
14628;14689;14628
14629;14061;14629
14631;14762;14762
14632;14061;14632
14633;14371;14633
14634;14371;14634
14636;14061;14636
14638;14371;14638
14641;14126;14126
14642;14194;14642
14647;14570;14647
14653;14174;14653
14655;14061;14655
14662;14357;14662
14670;14543;14670
14671;14658;14671
14673;14011;14011
14683;14228;14683
14686;14726;14686
14688;14654;14688
